Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Curricular units 1st sem (grade),Curricular units 2nd sem (grade),Tuition fees up to date,Scholarship holder,Debtor,Gender,Target,Grade_diff,Total_units_approved,Avg_grade,Performance_ratio,Financial_risk,Risk_Level
18,6,7,14.381844734999145,15.113269830983299,1,0,0,0,Graduate,0.7314250959841537,13,14.747557282991222,1.1257677315260475,0,Low Risk
18,7,7,15.173084604053932,13.0,1,0,0,0,Graduate,-2.1730846040539316,14,14.086542302026967,0.9990455533352459,0,Low Risk
20,5,5,13.96185323165733,12.6367080752397,1,0,0,0,Enrolled,-1.32514515641763,10,13.299280653448514,1.3167604607374768,0,Medium Risk
20,5,5,9.81943020297235,11.053537402011495,1,0,0,1,Enrolled,1.2341071990391441,10,10.436483802491923,1.0333152279694973,0,Medium Risk
20,5,6,12.344964553985466,13.140257311245303,0,0,1,0,Enrolled,0.795292757259837,11,12.742610932615385,1.147982966902287,2,Medium Risk
21,5,6,12.276784517354836,12.096816311673601,1,0,1,0,Enrolled,-0.1799682056812344,11,12.186800414514218,1.0979099472535332,1,Medium Risk
18,6,7,12.630892770721728,15.047805949534803,1,1,0,1,Graduate,2.4169131788130755,13,13.839349360128265,1.0564388824525395,0,Low Risk
19,5,6,14.276836786905784,11.093054229273108,1,1,1,0,Enrolled,-3.183782557632677,11,12.684945508089445,1.1427878836116618,1,Medium Risk
19,7,7,12.01241917532165,14.962348965551381,1,1,0,0,Graduate,2.9499297902297315,14,13.487384070436516,0.9565520617330863,0,Low Risk
26,3,5,6.356711860509394,4.764528888267474,0,0,1,0,Dropout,-1.59218297224192,8,5.560620374388434,0.6864963425170907,2,High Risk
22,6,6,12.11053502172595,9.200452048917061,1,0,0,0,Enrolled,-2.9100829728088886,12,10.655493535321504,0.8806193004397938,0,Medium Risk
21,7,7,13.887847634742295,16.07802286840308,1,1,0,0,Graduate,2.1901752336607867,14,14.982935251572687,1.062619521388134,0,Low Risk
21,6,6,11.723789529730846,7.781089485425501,1,0,0,1,Enrolled,-3.9427000443053446,12,9.752439507578174,0.8059867361634855,0,Medium Risk
20,7,7,14.601763407080528,17.80448933753618,1,1,0,1,Graduate,3.2027259304556512,14,16.203126372308354,1.1491578987452733,0,Low Risk
24,4,4,5.770383980530438,5.541628680742804,0,0,1,0,Dropout,-0.22875529978763431,8,5.656006330636621,0.6982723864983483,2,High Risk
18,7,6,13.889842066007416,14.508845759109372,1,0,0,0,Graduate,0.6190036931019556,13,14.199343912558394,1.0839193826380453,0,Low Risk
18,6,6,13.663060581500321,15.81952999200103,1,1,0,0,Graduate,2.1564694105007085,12,14.741295286750676,1.2182888666736096,0,Low Risk
20,6,6,12.980724168370033,8.58652525024897,1,1,1,0,Enrolled,-4.394198918121063,12,10.783624709309501,0.8912086536619422,1,Medium Risk
21,6,6,12.330617898780517,8.951673277044051,1,0,1,1,Enrolled,-3.3789446217364656,12,10.641145587912284,0.8794335196621723,1,Medium Risk
25,4,5,5.856628026123497,2.7600718578531107,0,1,0,0,Dropout,-3.096556168270386,9,4.308349941988304,0.4734450485701433,1,High Risk
20,7,7,15.909094572854578,16.561847829058404,1,0,0,0,Graduate,0.6527532562038267,14,16.23547120095649,1.1514518582238644,0,Low Risk
18,7,6,16.81948181392218,15.25590466991796,1,1,0,0,Graduate,-1.5635771440042205,13,16.03769324192007,1.2242513925129825,0,Low Risk
19,7,6,15.65044971572664,13.058576937393367,1,0,0,1,Graduate,-2.591872778333274,13,14.354513326560003,1.0957643760732827,0,Low Risk
18,6,6,13.428563186126262,16.4725730812671,0,0,0,0,Graduate,3.0440098951408388,12,14.950568133696681,1.2355841432807175,1,Low Risk
19,7,6,13.606626161170617,15.498465116774126,1,1,0,0,Graduate,1.8918389556035091,13,14.552545638972372,1.1108813464864407,0,Low Risk
20,6,5,13.671425096275147,13.012007349891777,0,0,0,1,Enrolled,-0.6594177463833706,11,13.341716223083463,1.2019564164940058,1,Medium Risk
20,6,7,18.25367588345664,17.618018186619665,0,1,0,1,Graduate,-0.6356576968369758,13,17.93584703503815,1.3691486286288665,1,Low Risk
19,6,6,16.59527458672821,17.941495199505233,1,1,0,1,Graduate,1.3462206127770244,12,17.26838489311672,1.4271392473650184,0,Low Risk
18,7,6,15.513400998452028,14.124151157240004,1,1,0,0,Graduate,-1.389249841212024,13,14.818776077846016,1.1312042807516043,0,Low Risk
19,7,7,14.5614922594814,17.320708326602457,1,1,0,1,Graduate,2.7592160671210575,14,15.941100293041927,1.1305744888682219,0,Low Risk
21,6,7,16.341164131864776,14.45239330262855,1,0,0,1,Graduate,-1.8887708292362255,13,15.396778717246663,1.17532661963715,0,Low Risk
19,5,5,8.496085628862144,9.277733522946221,0,1,1,1,Enrolled,0.7816478940840774,10,8.886909575904182,0.879892037218236,2,Medium Risk
